vidId,frameNum,timestamp,detectedObjId,detectedObjClass,confidence,bbox_info
2,1800,75.075,16,person,0.5850654,"4,1,216,239"
2,1800,75.075,17,chair,0.55775774,"395,56,426,120"
1,1700,70.90416666666667,0,boat,0.7497452,"19,88,143,154"
1,1700,70.90416666666667,1,oven,0.5447701,"596,162,640,200"
2,400,16.683333333333334,0,person,0.9966382,"496,2,605,310"
2,400,16.683333333333334,1,person,0.99647576,"217,57,350,359"
2,400,16.683333333333334,2,person,0.9963911,"160,95,267,356"
2,400,16.683333333333334,3,person,0.9963307,"344,88,439,360"
2,400,16.683333333333334,4,person,0.9825533,"424,92,490,330"
2,400,16.683333333333334,5,person,0.982356,"1,0,170,347"
2,400,16.683333333333334,6,person,0.96144384,"331,72,370,188"
2,400,16.683333333333334,7,person,0.90776545,"213,112,288,343"
2,400,16.683333333333334,8,person,0.87429017,"487,78,517,140"
2,400,16.683333333333334,9,person,0.8112217,"586,81,616,179"
2,400,16.683333333333334,10,potted plant,0.8077293,"414,39,466,114"
2,400,16.683333333333334,11,dining table,0.7965548,"601,161,639,203"
2,400,16.683333333333334,12,person,0.77547497,"473,96,517,287"
2,400,16.683333333333334,13,potted plant,0.61069703,"270,48,327,70"
2,400,16.683333333333334,14,chair,0.5801617,"442,67,465,92"
2,400,16.683333333333334,15,person,0.5757163,"594,77,618,134"
2,400,16.683333333333334,16,person,0.5493856,"368,83,410,107"
2,400,16.683333333333334,17,person,0.51111764,"487,65,548,306"
2,400,16.683333333333334,18,tv,0.5093132,"477,67,506,91"
2,6600,275.27500000000003,0,person,0.9986136,"237,9,640,357"
2,6600,275.27500000000003,1,dining table,0.86434346,"0,264,436,355"
2,6600,275.27500000000003,2,cup,0.7530303,"199,89,247,154"
2,6200,258.5916666666667,0,person,0.9917645,"0,81,260,332"
2,6200,258.5916666666667,1,person,0.9853571,"13,2,449,125"
2,6200,258.5916666666667,2,bottle,0.9155567,"345,124,409,304"
2,6200,258.5916666666667,3,cup,0.7250717,"208,255,305,349"
2,6200,258.5916666666667,4,book,0.6566248,"509,291,567,306"
2,6200,258.5916666666667,5,dining table,0.5077831,"1,256,446,355"
2,600,25.025000000000002,0,person,0.9998222,"392,81,526,328"
2,600,25.025000000000002,1,person,0.99875486,"211,71,286,325"
2,600,25.025000000000002,2,person,0.99856454,"287,80,379,334"
2,600,25.025000000000002,3,person,0.99833965,"495,93,597,325"
2,600,25.025000000000002,4,person,0.9969838,"16,106,99,333"
2,600,25.025000000000002,5,person,0.99553347,"1,107,57,318"
2,600,25.025000000000002,6,person,0.99436647,"127,107,180,320"
2,600,25.025000000000002,7,person,0.9938938,"165,115,219,328"
2,600,25.025000000000002,8,person,0.9937097,"78,95,154,320"
2,600,25.025000000000002,9,person,0.9887925,"579,97,639,318"
1,2900,120.95416666666667,0,boat,0.57235867,"57,279,69,290"
2,7400,308.6416666666667,0,person,0.9981178,"438,143,562,332"
2,7400,308.6416666666667,1,person,0.99628484,"328,167,457,355"
2,7400,308.6416666666667,2,person,0.98923254,"209,205,323,355"
2,7400,308.6416666666667,3,person,0.9789836,"200,57,248,150"
2,7400,308.6416666666667,4,person,0.97769994,"213,97,288,187"
2,7400,308.6416666666667,5,person,0.9664918,"351,76,447,178"
2,7400,308.6416666666667,6,person,0.96360695,"333,72,387,161"
2,7400,308.6416666666667,7,person,0.9473521,"116,85,162,135"
2,7400,308.6416666666667,8,person,0.9469726,"263,110,346,249"
2,7400,308.6416666666667,9,person,0.9466822,"1,41,244,355"
2,7400,308.6416666666667,10,person,0.93829304,"439,108,512,217"
2,7400,308.6416666666667,11,bowl,0.91254973,"347,52,377,67"
2,7400,308.6416666666667,12,person,0.8955916,"363,123,440,237"
2,7400,308.6416666666667,13,book,0.8742316,"471,97,520,109"
2,7400,308.6416666666667,14,book,0.857978,"514,22,576,74"
2,7400,308.6416666666667,15,bowl,0.80868036,"555,119,610,146"
2,7400,308.6416666666667,16,chair,0.7177002,"183,16,211,81"
2,7400,308.6416666666667,17,book,0.64770216,"473,85,522,101"
2,7400,308.6416666666667,18,person,0.64111143,"155,104,206,139"
2,7400,308.6416666666667,19,book,0.63889146,"562,23,634,84"
2,7400,308.6416666666667,20,bowl,0.5328413,"593,180,632,201"
1,4400,183.51666666666668,0,person,0.95415246,"582,0,639,263"
1,4400,183.51666666666668,1,umbrella,0.5387748,"0,11,111,262"
2,4300,179.34583333333333,0,person,0.9990702,"102,27,341,354"
2,4300,179.34583333333333,1,person,0.9966276,"370,36,622,350"
2,4300,179.34583333333333,2,person,0.9557359,"572,45,640,317"
2,4300,179.34583333333333,3,person,0.6959674,"501,48,630,334"
2,4300,179.34583333333333,4,person,0.66573346,"297,81,323,127"
1,1400,58.39166666666667,0,broccoli,0.75179636,"434,179,618,291"
2,900,37.5375,0,person,0.9964986,"131,0,420,356"
2,900,37.5375,1,person,0.99635005,"494,3,639,357"
2,900,37.5375,2,potted plant,0.92095226,"51,110,140,241"
2,900,37.5375,3,spoon,0.8986433,"496,263,524,292"
2,900,37.5375,4,handbag,0.8968418,"283,227,355,319"
2,900,37.5375,5,spoon,0.8680263,"494,243,539,296"
2,900,37.5375,6,vase,0.7947664,"88,167,138,240"
2,900,37.5375,7,oven,0.6406452,"400,178,546,347"
2,900,37.5375,8,tie,0.62339354,"133,109,231,222"
2,900,37.5375,9,cell phone,0.5400303,"403,183,500,218"
2,6900,287.7875,0,person,0.9985846,"299,91,484,273"
2,6900,287.7875,1,person,0.99564135,"0,125,123,301"
2,6900,287.7875,2,person,0.9901652,"2,77,353,357"
2,6900,287.7875,3,cup,0.9764109,"376,247,415,293"
2,6900,287.7875,4,dining table,0.9652523,"304,266,635,354"
2,6900,287.7875,5,cup,0.7349979,"308,263,345,284"
2,6900,287.7875,6,person,0.67965204,"0,101,20,208"
2,6900,287.7875,7,dining table,0.6338464,"57,254,640,356"
2,6900,287.7875,8,cup,0.6113076,"600,169,631,201"
2,4700,196.02916666666667,0,person,0.99589044,"387,1,640,339"
2,4700,196.02916666666667,1,person,0.9941241,"115,15,471,360"
2,4700,196.02916666666667,2,person,0.95966256,"0,167,115,358"
2,4700,196.02916666666667,3,person,0.50469166,"453,0,494,49"
3,1100,45.87916666666666,0,car,0.9989741,"1,130,255,236"
3,1100,45.87916666666666,1,car,0.9929496,"271,135,338,172"
3,1100,45.87916666666666,2,car,0.9923334,"433,131,497,163"
3,1100,45.87916666666666,3,car,0.9912445,"366,136,407,163"
3,1100,45.87916666666666,4,car,0.99056834,"328,136,374,165"
3,1100,45.87916666666666,5,car,0.9848631,"481,132,510,152"
3,1100,45.87916666666666,6,car,0.9810465,"401,136,438,159"
3,1100,45.87916666666666,7,car,0.97928655,"191,127,273,173"
3,1100,45.87916666666666,8,car,0.9744591,"571,135,638,355"
3,1100,45.87916666666666,9,car,0.9630004,"508,135,533,149"
